2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.inspect.rfinder.rfimode = use_flags
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.inspect.rfinder.polarization = q
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.inspect.rfinder.plot_summary = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   flag.target.inspect.rfinder.plot_details = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.uvrange = >150
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.flag.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.flag.reset.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.flag.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.flag.extend.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.flag.extend.ntime = 60s
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.flag.extend.growfreq = 80.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.flag.extend.growtime = 80.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.set_model.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.plotgains.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.casa.gain-solint = inf
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.casa.time-solint = int
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.casa.clean_spw = 0:1.45~1.50GHz
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.input_ms.time_chunk = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.input_ms.freq_chunk = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.input_ms.select_fields = 2
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.solver.threads = 32
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.dask.threads = 2
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.dask.scheduler = threads
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.gain.time_interval = 1
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.gain.freq_interval = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.calibrate.quartical.gain.type = crosshand_phase
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.image-with = wsclean
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.nchan = 8
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.size = 4096
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.auto-threshold = 1.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.weight = uniform
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.scale = 1.1 asec
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.pol = IQUV
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.threads = 64
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.mem = 90
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.image.wsclean.auto-mask = 4.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.applycal_target.quartical.input_ms.time_chunk = 15
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.applycal_target.quartical.input_ms.freq_chunk = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.applycal_target.quartical.solver.threads = 32
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.applycal_target.quartical.dask.threads = 2
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   polcal.applycal_target.quartical.dask.scheduler = threads
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.flag.reset.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.flag.restore.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.flag.restore.version = pre-selfcal
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.flag.summary.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.image-with = wsclean
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.nchan = 8
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.size = 10240
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.auto-threshold = 1.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.weight = briggs 0.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.scale = 1.1 asec
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.threads = 64
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.mem = 90
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.abs-mem = 100
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.padding = 1.2
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.auto-mask = 4.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.image.wsclean.multiscale = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.upsample.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.upsample.upsample-with = smops
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.upsample.smops.num-threads = 64
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.upsample.smops.channels-out = 8
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.upsample.smops.polynomial-order = 4
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.mask.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.mask.mask-with = breizorro
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.mask.breizorro.threshold = 6.5
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.mask.breizorro.boxsize = 80
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.mask.breizorro.dilate = 5
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.mask.breizorro.savenoise = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.mask.breizorro.fill-holes = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.assess.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.assess.assess-with = aimfast
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.assess.aimfast.all_source = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.assess.aimfast.tolerance = 0.6
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.enable = False
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.calibrate-with = QuartiCal
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.input_ms.time_chunk = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.input_ms.freq_chunk = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.input_ms.sigma_column = SIGMA_SPECTRUM
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.solver.threads = 32
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.solver.iter_recipe = [150, 50, 25]
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.dask.threads = 2
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.dask.scheduler = threads
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.mad_flags.enable = True
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.mad_flags.threshold_bl = 10.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.mad_flags.threshold_global = 12.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.mad_flags.max_deviation = 0.0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.gain.time_interval = 4
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.gain.freq_interval = 0
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.gain.type1 = delay_and_offset
2026-06-30 18:34:05 STIMELA.xgc-reborn INFO:   selfcal.calibrate.quartical.gain.type2 = delay_and_offset
